Var1,Metadata_moa.x
BRD-A65767837,glucocorticoid receptor agonist
BRD-A66025870,bacterial cell wall synthesis inhibitor
BRD-A66199457,antineoplastic
BRD-A67479912,progesterone receptor agonist
BRD-A67862938,adrenergic receptor antagonist
BRD-A68039575,aromatase inhibitor
BRD-A68281735,leukotriene receptor antagonist|lipoxygenase inhibitor
BRD-A68723818,histamine receptor antagonist
BRD-A68930007,atpase inhibitor
BRD-A69636825,calcium channel blocker
BRD-A69777949,topoisomerase inhibitor
BRD-A69786436,acetylcholine receptor antagonist
BRD-A69815203,calcineurin inhibitor
BRD-A70083328,acetylcholinesterase inhibitor|microtubule inhibitor
BRD-A70514680,local anesthetic
BRD-A71157293,vitamin b
BRD-A71774530,chitin inhibitor
BRD-A71816415,hmgcr inhibitor
BRD-A72483914,serotonin receptor antagonist
BRD-A72703248,calcium channel blocker|cytochrome p450 inhibitor
BRD-A72988804,cyclooxygenase inhibitor
BRD-A73368467,histamine receptor antagonist
BRD-A73581086,adrenergic receptor agonist
BRD-A74667430,cyclooxygenase inhibitor
BRD-A74904029,casein kinase inhibitor
BRD-A74980173,bacterial dna gyrase inhibitor
BRD-A75172220,glucocorticoid receptor agonist
BRD-A75552914,cyclooxygenase inhibitor
BRD-A75726477,adrenergic receptor agonist
BRD-A75817871,atpase inhibitor
BRD-A75850590,bacterial dna gyrase inhibitor
BRD-A77291778,acetylcholine receptor antagonist
BRD-A78295502,anti-arrhythmia
BRD-A78303415,acetylcholine receptor antagonist
BRD-A78322124,adrenergic receptor agonist
BRD-A78877355,cyclooxygenase inhibitor
BRD-A79226577,serotonin receptor antagonist|polarization inhibitor|sodium channel blocker
BRD-A79672927,acetylcholine receptor antagonist
BRD-A79981887,adrenergic receptor agonist
BRD-A80017228,sodium/potassium/chloride transporter inhibitor
BRD-A80151636,dopamine receptor agonist
BRD-A80594172,glucocorticoid receptor agonist
BRD-A80871782,trace amine associated receptor agonist
BRD-A81177136,calcium/calmodulin dependent protein kinase inhibitor|purinergic receptor antagonist
BRD-A82396632,bacterial cell wall synthesis inhibitor
BRD-A83177971,hmgcr inhibitor
BRD-A83937277,hydantoin antiepileptic
BRD-A84174393,cyclooxygenase inhibitor
BRD-A84174873,benzodiazepine receptor agonist
BRD-A84389633,serotonin receptor antagonist
BRD-A84493640,mitochondrial electron transport inhibitor
BRD-A85587465,serotonin receptor antagonist
BRD-A87719232,cyclooxygenase inhibitor
BRD-A88254928,adrenergic receptor agonist
BRD-A88548664,dopamine receptor agonist
BRD-A89585551,adenosine receptor antagonist|hemoglobin antagonist
BRD-A89672324,gaba receptor antagonist
BRD-A90131694,glucocorticoid receptor agonist
BRD-A90515964,expectorant
BRD-A90799790,calcium channel blocker
BRD-A91452556,estrogen receptor agonist
BRD-A92439610,glucocorticoid receptor agonist
BRD-A92537424,estrogen receptor antagonist|progesterone receptor agonist
BRD-A92651262,opioid receptor agonist
BRD-A92670106,sodium channel blocker
BRD-A92826379,sodium channel blocker
BRD-A93000692,ppar receptor agonist
BRD-A93236127,atpase inhibitor
BRD-A93353767,lanosterol demethylase inhibitor
BRD-A93424738,glucocorticoid receptor agonist
BRD-A94543220,sterol demethylase inhibitor
BRD-A94624445,adenosine receptor agonist|camp stimulant
BRD-A94669766,aromatase inhibitor
BRD-A94709349,muscle relaxant
BRD-A94756469,atpase inhibitor
BRD-A95096829,dopamine receptor antagonist
BRD-A95207036,androgen receptor antagonist
BRD-A95445494,interleukin synthesis inhibitor|sodium/glucose cotransporter inhibitor
BRD-A95513702,aromatase inhibitor
BRD-A95869247,thiazide diuretic
BRD-A95939040,sterol demethylase inhibitor
BRD-A96485169,aldose reductase inhibitor
BRD-A96897502,lipid peroxidase inhibitor
BRD-A97104540,adrenergic receptor agonist
BRD-A97437073,insulin sensitizer|ppar receptor agonist
BRD-A97479839,acetylcholine receptor antagonist
BRD-A97674275,sodium channel blocker
BRD-A97701745,adrenergic receptor antagonist|serotonin receptor antagonist
BRD-A97730597,sodium channel blocker
BRD-A97739905,cyclooxygenase inhibitor
BRD-A98299281,calcium channel activator
BRD-A99177642,acetylcholine receptor antagonist
BRD-A99402294,bacterial cell wall synthesis inhibitor
BRD-A99571536,anti-epileptic
BRD-K00141480,anti-inflammatory|interleukin inhibitor
BRD-K00184207,aryl hydrocarbon receptor ligand
BRD-K00259736,microtubule inhibitor
BRD-K00603606,purinergic receptor antagonist|platelet aggregation inhibitor
BRD-K00662280,gaba receptor agonist
BRD-K00673382,histamine receptor antagonist
BRD-K00824317,glucocorticoid receptor agonist
BRD-K01095011,5 alpha reductase inhibitor
BRD-K01244426,bacterial cell wall synthesis inhibitor
BRD-K01292756,dopamine receptor antagonist
BRD-K01555864,antineoplastic
BRD-K01624546,ltb4 inhibitor
BRD-K01648091,dopamine receptor antagonist
BRD-K01663662,muscarinic antagonist
BRD-K01815685,"aryl hydrocarbon receptor agonist|indoleamine 2,3-dioxygenase inhibitor"
BRD-K01824921,adenosine receptor antagonist
BRD-K01868942,serotonin receptor antagonist
BRD-K01902415,ppar receptor agonist
BRD-K02265150,norepinephrine reuptake inhibitor
BRD-K02275692,bacterial cell wall synthesis inhibitor
BRD-K02292852,bacterial cell wall synthesis inhibitor
BRD-K02404261,adenosine receptor antagonist|phosphodiesterase inhibitor
BRD-K02407574,tubulin polymerization inhibitor
BRD-K02607075,acetylcholine receptor antagonist
BRD-K02637541,cyclooxygenase inhibitor
BRD-K02715688,tyrosine hydroxylase inhibitor
BRD-K02764365,anthelmintic
BRD-K02867583,serotonin reuptake inhibitor
BRD-K02953697,cytochrome p450 inhibitor
BRD-K03067624,protein synthesis inhibitor
BRD-K03319035,norepinephrine reuptake inhibitor
BRD-K03842655,potassium channel blocker
BRD-K03981224,progestogen hormone
BRD-K04010869,hsp inducer|nfkb pathway inhibitor
BRD-K04111260,dopamine receptor antagonist
BRD-K04185004,local anesthetic
BRD-K04430056,nitric oxide synthase inhibitor
BRD-K04704168,hcv inhibitor
BRD-K04804440,bacterial dna gyrase inhibitor
BRD-K04877770,farnesyltransferase inhibitor
BRD-K05181463,dopamine receptor antagonist
BRD-K05236810,glucosidase inhibitor
BRD-K05395900,acetylcholine receptor agonist
BRD-K05434375,calcium channel blocker
BRD-K05528470,dopamine receptor antagonist
BRD-K05653692,glucosyltransferase inhibitor
BRD-K05673000,bacterial cell wall synthesis inhibitor
BRD-K05901394,dopamine receptor agonist
BRD-K05977355,sterol demethylase inhibitor
BRD-K06147391,acetylcholine receptor antagonist
BRD-K06181161,acetylcholine receptor antagonist
BRD-K06208435,calcium channel blocker
BRD-K06543683,pkc inhibitor|glycogen synthase kinase inhibitor|leucine rich repeat kinase inhibitor|sirt inhibitor
BRD-K06854232,retinoid receptor agonist
BRD-K06902185,katp activator|kir6 channel (katp) activator|vasodilator
BRD-K07208025,dihydrofolate reductase inhibitor
BRD-K07220430,calcium channel blocker
BRD-K07572174,cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|nfkb pathway inhibitor
BRD-K07753030,polarization inhibitor
BRD-K07996107,acetylcholinesterase inhibitor
BRD-K08033334,bacterial 30s ribosomal subunit inhibitor
BRD-K08078237,calcium channel blocker
BRD-K08109516,glutamate receptor antagonist
BRD-K08252256,cyclooxygenase inhibitor
BRD-K08273968,tubulin polymerization inhibitor
BRD-K08303368,acetylcholinesterase inhibitor
BRD-K08556791,acetylcholinesterase inhibitor
BRD-K08619574,dopamine receptor antagonist
BRD-K08832567,aromatase inhibitor|trpv antagonist
BRD-K08973992,oxidative stress inducer
BRD-K09397065,serotonin receptor agonist
BRD-K09416995,hmgcr inhibitor
BRD-K09497549,calcium channel modulator|mtor inhibitor|sodium channel blocker
BRD-K09635134,negative control for d-erythro-mapp
BRD-K09668667,carcinogen
BRD-K09778810,inositol monophosphatase inhibitor
BRD-K09859624,acetylcholine receptor antagonist
BRD-K09963420,hiv protease inhibitor
BRD-K10042277,cetylcholine receptor agonist|dopamine receptor agonist|dopamine receptor antagonist|dopamine receptor partial agonist|serotonin receptor antagonist|serotonin receptor inverse agonist
BRD-K10065684,laxative
BRD-K10176267,glutamate receptor antagonist
BRD-K10314788,nootropic
BRD-K10670311,antirheumatic drug|nfkb pathway inhibitor
BRD-K10671814,dihydropteroate synthetase inhibitor
BRD-K10870738,lipoxygenase inhibitor
BRD-K10995081,dopamine receptor antagonist
BRD-K11129031,lipoprotein lipase activator
BRD-K11196887,bacterial dna gyrase inhibitor
BRD-K11399644,ampk activator
BRD-K11640013,paba antagonist
BRD-K11717138,chloride channel blocker
BRD-K11742128,histamine receptor antagonist
BRD-K11756522,bacterial dna inhibitor
BRD-K12102668,monoamine oxidase inhibitor
BRD-K12219985,sulfonylurea
BRD-K12260308,antifungal
BRD-K12513978,cyclooxygenase inhibitor
BRD-K12568846,analgesic
BRD-K12906962,sodium/calcium exchange inhibitor
BRD-K12994359,cyclooxygenase inhibitor
BRD-K13211965,dopamine receptor antagonist
BRD-K13261168,dopamine receptor agonist
BRD-K13533483,calcineurin inhibitor|cyclophilin inhibitor|immunosuppressant|insulin expression inhibitor|t cell inhibitor
BRD-K13544237,dopamine receptor agonist|antiamyloidogenic
BRD-K13819402,acetylcholinesterase inhibitor|monoamine oxidase inhibitor
BRD-K13926615,phosphodiesterase inhibitor
BRD-K13994703,adrenergic receptor antagonist
BRD-K14204120,histamine receptor antagonist
BRD-K14282469,serotonin receptor antagonist
BRD-K14496212,dopamine receptor agonist
BRD-K14536225,glucosidase inhibitor
BRD-K14704277,topoisomerase inhibitor
BRD-K14705039,dihydropteroate synthase inhibitor
BRD-K14796088,ldl receptor activator
BRD-K14821540,mitochondrial oxidative phosphorylation uncoupler
BRD-K14888893,katp activator
BRD-K15025317,nfkb pathway inhibitor
BRD-K15519488,dopamine receptor agonist
BRD-K15563106,sodium/glucose cotransporter inhibitor
BRD-K15567136,phosphodiesterase inhibitor
BRD-K15715913,dopamine receptor antagonist|serotonin receptor antagonist
BRD-K15868788,serotonin receptor antagonist
BRD-K15933101,dopamine receptor agonist|dopamine receptor modulator
BRD-K16195444,adrenergic receptor agonist
BRD-K16474819,analgesic
BRD-K16508793,benzodiazepine receptor agonist
BRD-K16542329,phosphodiesterase inhibitor
BRD-K16551401,serotonin receptor agonist
BRD-K16604360,antiamyloidogenic|dopamine receptor agonist
BRD-K17016787,estrogen receptor agonist
BRD-K17294426,dopamine receptor antagonist
BRD-K17378184,dopamine receptor agonist
BRD-K17565903,muscle relaxant
BRD-K17674993,corticosteroid agonist
BRD-K17953061,pkc inhibitor
BRD-K18059238,cyclooxygenase inhibitor|prostanoid receptor stimulant|thromboxane synthase stimulant
BRD-K18250272,local anesthetic
BRD-K18518344,atpase inhibitor
BRD-K18550767,interleukin inhibitor
BRD-K18787491,mek inhibitor
BRD-K18910433,estrogen receptor agonist
BRD-K18922609,acetylcholinesterase inhibitor
BRD-K19111024,ppar receptor agonist
BRD-K19227686,indicator dye
BRD-K19295594,bcl inhibitor|mcl1 inhibitor
BRD-K19309090,acetylcholine receptor agonist
BRD-K19352500,dopamine receptor antagonist
BRD-K19360254,dopamine receptor agonist
BRD-K19416115,dipeptidyl peptidase inhibitor
BRD-K19438463,glutamate receptor antagonist
BRD-K19462402,adrenergic receptor antagonist|calcium channel blocker
BRD-K19554809,serotonin receptor agonist
BRD-K20338176,bacterial cell wall synthesis inhibitor
BRD-K20620780,dopamine receptor antagonist
BRD-K20655524,psychoactive drug
BRD-K20714604,serotonin receptor partial agonist
BRD-K20742498,serotonin receptor antagonist
BRD-K21283037,glutamate inhibitor
BRD-K21350491,acid sensing ion channel blocker|sodium channel blocker|trpp3 channel inhibitor|trpv modulator
BRD-K21548250,sodium channel blocker
BRD-K21565985,adrenergic receptor agonist
BRD-K21680192,topoisomerase inhibitor
BRD-K21733600,cyclooxygenase inhibitor
BRD-K22031190,prostanoid receptor antagonist
BRD-K22193694,topical sunscreen
BRD-K22936972,dopamine uptake inhibitor
BRD-K22969690,bacterial 50s ribosomal subunit inhibitor
BRD-K23478508,atpase inhibitor
BRD-K23583188,egfr inhibitor|tyrosine kinase inhibitor
BRD-K23704908,serine protease inhibitor
BRD-K23913458,vitamin k antagonist
BRD-K24084088,adenosine receptor antagonist
BRD-K24132293,glutathione transferase inhibitor
BRD-K24396733,dopamine receptor agonist
BRD-K24616672,hmgcr inhibitor
BRD-K25140590,glutamate receptor modulator
BRD-K25224017,serotonin receptor antagonist
BRD-K25394294,cyclooxygenase inhibitor
BRD-K25650355,cholinesterase inhibitor
BRD-K25741894,acetylcholinesterase inhibitor
BRD-K26005076,norepinephrine reuptake inhibitor
BRD-K26548821,dopamine receptor agonist
BRD-K26862302,aryl hydrocarbon receptor agonist
BRD-K27130738,bacterial cell wall synthesis inhibitor
BRD-K27305650,mtor inhibitor|pi3k inhibitor|dna dependent protein kinase inhibitor|phosphodiesterase inhibitor|plk inhibitor
BRD-K27316855,vitamin d receptor agonist
BRD-K27351809,progesterone receptor agonist
BRD-K27450477,adenosine deaminase inhibitor
BRD-K27499107,ip receptor activator
BRD-K27710560,sirt inhibitor
BRD-K27721098,purinergic receptor antagonist
BRD-K27737647,pka inhibitor
BRD-K28143534,histamine receptor antagonist
BRD-K28183345,dihydrofolate reductase inhibitor
BRD-K28307902,androgen receptor antagonist
BRD-K28453807,cholinergic receptor antagonist
BRD-K28542495,prostanoid receptor antagonist
BRD-K28667196,increases arterial blood pressure
BRD-K28680267,cck receptor antagonist
BRD-K28761891,melatonin receptor agonist
BRD-K28806945,dopamine receptor antagonist
BRD-K28936863,histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor
BRD-K29113274,sterol demethylase inhibitor
BRD-K29133151,thromboxane receptor antagonist
BRD-K29359156,cyclooxygenase inhibitor|glutathione peroxidase agonist|h+/k+-atpase inhibitor|nitric oxide synthase inhibitor
BRD-K29458283,dna inhibitor
BRD-K29582677,calcium channel blocker
BRD-K29950728,estrogen receptor antagonist
BRD-K30197592,serotonin receptor agonist
BRD-K30240666,histamine receptor antagonist
BRD-K30296925,antineoplastic
BRD-K30421593,adrenergic receptor antagonist
BRD-K30480208,electrolyte reabsorption inhibitor|thromboxane receptor antagonist
BRD-K30685142,thyroid hormone stimulant
BRD-K30867024,serotonin receptor antagonist
BRD-K31342827,pkc inhibitor
BRD-K31491153,serotonin receptor agonist
BRD-K31611373,prostanoid receptor agonist
BRD-K31627533,glucocorticoid receptor agonist
BRD-K32164935,atp channel blocker
BRD-K32247306,gaba receptor antagonist
BRD-K32501161,dopamine uptake inhibitor
BRD-K32584078,akt inhibitor|hcv ns5b rdrp inhibitor
BRD-K32744045,aldehyde dehydrogenase inhibitor|dna methyltransferase inhibitor|trpv agonist
BRD-K32755366,norepinephrine transporter inhibitor
BRD-K32821942,dehydrogenase inhibitor
BRD-K32828673,tubulin polymerization inhibitor
BRD-K32830106,adrenergic receptor agonist
BRD-K33204703,pdgfr receptor inhibitor
BRD-K33211335,glutamate receptor antagonist|sigma receptor agonist
BRD-K33396764,omega 3 fatty acid stimulant
BRD-K33453211,histamine receptor antagonist
BRD-K33583600,guanylate cyclase activator
BRD-K33710385,mycolic synthesis inhibitor
BRD-K34092021,trpv agonist|cannabinoid receptor agonist
BRD-K34154330,gaba receptor modulator
BRD-K34157611,histamine receptor antagonist
BRD-K34415467,histamine receptor antagonist
BRD-K34685430,dopamine receptor antagonist|serotonin receptor antagonist
BRD-K34776109,insulin secretagogue
BRD-K34820100,photosynthesis inhibitor
BRD-K35189033,estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist
BRD-K35240538,glucocorticoid receptor agonist
BRD-K35458079,nootropic
BRD-K35531059,guanylyl cyclase activator
BRD-K35586044,adrenergic receptor antagonist
BRD-K35708212,atpase inhibitor
BRD-K35941380,serotonin receptor antagonist
BRD-K35960502,dna replication inhibitor|stat inhibitor
BRD-K36007650,protein synthesis inhibitor
BRD-K36055864,protein synthesis inhibitor
BRD-K36116267,psychoactive drug
BRD-K36377456,angiogenesis inhibitor
BRD-K36638830,acetylcholine receptor agonist
BRD-K36862742,sodium/potassium/chloride transporter inhibitor
BRD-K36927236,atp channel blocker|insulin secretagogue|sulfonylurea
BRD-K36965586,serotonin receptor agonist
BRD-K37249724,histamine receptor antagonist
BRD-K37270826,glucocorticoid receptor antagonist|progesterone receptor antagonist
BRD-K37289225,dopamine receptor antagonist|serotonin receptor antagonist
BRD-K37447567,opioid receptor antagonist
BRD-K37561857,phosphodiesterase inhibitor
BRD-K37682401,bacterial dna gyrase inhibitor
BRD-K37688416,psychoactive drug
BRD-K37694030,histamine receptor antagonist
BRD-K37798499,topoisomerase inhibitor
BRD-K37846922,"chk inhibitor|cytochrome p450 activator|indoleamine 2,3-dioxygenase inhibitor"
BRD-K37848908,penicillin binding protein inhibitor
BRD-K38003476,steroid
BRD-K38055836,respiratory stimulant
BRD-K38197229,solute carrier family member inhibitor
BRD-K38251852,abc transporter expression enhancer|high conductance calcium activated potassium blocker|lxr agonist|potassium channel blocker
BRD-K38305202,dopamine receptor antagonist
BRD-K38323065,cyclooxygenase inhibitor
BRD-K38347298,adenosine receptor antagonist
BRD-K38436528,norepinephrine reuptake inhibitor|serotonin reuptake inhibitor
BRD-K38449220,cytochrome p450 inhibitor
BRD-K38775274,glucocorticoid receptor agonist
BRD-K38903228,flavanone glycoside
BRD-K39187410,antiamyloidogenic
BRD-K39188321,glucocorticoid receptor agonist
BRD-K39339537,cyclooxygenase inhibitor
BRD-K39356024,acetylcholine release enhancer|dopamine release enhancer|gaba receptor negative allosteric modulator|glutamate receptor modulator|progesterone receptor agonist|steroid hormone inhibitor of cyp17a1 and sult2b1
BRD-K39484304,rna polymerase inhibitor
BRD-K39915878,dopamine receptor antagonist|serotonin receptor antagonist
BRD-K39965020,ppar receptor agonist
BRD-K39987650,laxative
BRD-K40227168,adrenergic receptor antagonist
BRD-K40530731,acetylcholine receptor inhibitor
BRD-K40887525,serotonin receptor antagonist
BRD-K40901640,serotonin receptor antagonist
BRD-K40905133,sodium channel blocker
BRD-K40919711,potassium channel blocker
BRD-K40965114,adrenergic receptor antagonist
