,Var1,Metadata_moa.x,Metadata_Plate_Map_Name.x
65,BRD-A13946108-001-03-1,Cyclooxygenase inhibitor,H-BIOA-001-3
66,BRD-A14395271-001-01-5,Dopamine receptor antagonist,H-BIOA-001-3
67,BRD-A14566392-004-03-5,acetylcholine receptor antagonist,H-BIOA-001-3
68,BRD-A14574269-051-01-4,Acetylcholine receptor agonist,H-BIOA-001-3
69,BRD-A15034104-002-03-6,interleukin inhibitor,H-BIOA-001-3
70,BRD-A15070535-323-02-1,adenosine receptor agonist|cAMP stimulant,H-BIOA-001-3
71,BRD-A15415227-003-01-1,PPAR receptor agonist,H-BIOA-001-3
72,BRD-A15435692-003-01-5,sigma receptor antagonist|glutamate receptor antagonist|serotonin receptor agonist,H-BIOA-001-3
73,BRD-A15530910-001-01-3,adrenergic receptor antagonist|serotonin receptor antagonist,H-BIOA-001-3
74,BRD-A15914070-001-01-5,cytotoxic lipid peroxidation product,H-BIOA-001-3
75,BRD-A16332958-001-02-4,Adrenergic receptor agonist,H-BIOA-001-3
76,BRD-A16665823-008-03-3,Bacterial cell wall synthesis inhibitor,H-BIOA-001-3
77,BRD-A16694057-001-02-7,PPAR receptor antagonist,H-BIOA-001-3
78,BRD-A17065207-001-06-9,protein synthesis inhibitor,H-BIOA-001-3
79,BRD-A17428743-001-01-1,Serotonin receptor agonist,H-BIOA-001-3
80,BRD-A17453586-001-01-9,Serotonin receptor agonist,H-BIOA-001-3
81,BRD-A17535965-001-02-2,Acetylcholine receptor antagonist,H-BIOA-001-3
82,BRD-A17655518-001-02-0,Cyclooxygenase inhibitor,H-BIOA-001-3
83,BRD-A18043272-001-03-2,succinimide antiepileptic,H-BIOA-001-3
84,BRD-A18202423-001-01-6,Glutamate receptor antagonist,H-BIOA-001-3
85,BRD-A18497530-001-04-6,adenosine kinase inhibitor|nucleoside transporter inhibitor,H-BIOA-001-3
86,BRD-A18579359-001-03-1,Neural Wiskott-Aldrich syndrome protein inhibitor,H-BIOA-001-3
87,BRD-A18696154-003-11-9,adrenergic receptor antagonist,H-BIOA-001-3
88,BRD-A18763547-019-01-0,Cytochrome C release inhibitor,H-BIOA-001-3
89,BRD-A19053259-003-03-3,Anthelmintic,H-BIOA-001-3
90,BRD-A19195498-050-04-2,Norepinephrine reuptake inhibitor,H-BIOA-001-3
91,BRD-A19736161-310-01-3,Serotonin receptor antagonist,H-BIOA-001-3
92,BRD-A20239487-001-02-5,Adrenergic receptor antagonist,H-BIOA-001-3
93,BRD-A20348246-001-04-2,GABA receptor modulator,H-BIOA-001-3
94,BRD-A20968261-001-01-3,glutamate transporter inhibitor,H-BIOA-001-3
95,BRD-A21723284-066-01-7,Opioid receptor antagonist,H-BIOA-001-3
96,BRD-A21858158-001-04-5,Anthelmintic,H-BIOA-001-3
97,BRD-A22305049-003-04-5,gluconeogenesis inhibitor,H-BIOA-001-3
98,BRD-A22380646-001-01-5,ATPase inhibitor,H-BIOA-001-3
99,BRD-A22684332-003-02-3,adrenergic receptor agonist,H-BIOA-001-3
100,BRD-A22707317-001-02-5,GABA receptor modulator,H-BIOA-001-3
101,BRD-A22769835-300-03-2,Antihistamine,H-BIOA-001-3
102,BRD-A22783572-065-01-3,microtubule formation inhibitor|tubulin inhibitor|tubulin polymerisation inhibitor,H-BIOA-001-3
103,BRD-A22844106-001-04-7,Cyclooxygenase inhibitor,H-BIOA-001-3
104,BRD-A23034328-003-03-4,protein synthesis inhibitor,H-BIOA-001-3
105,BRD-A23072235-050-04-5,Histamine receptor antagonist,H-BIOA-001-3
106,BRD-A23226398-001-02-7,estrogen receptor agonist,H-BIOA-001-3
107,BRD-A23683907-334-01-0,serotonin receptor antagonist,H-BIOA-001-3
108,BRD-A23723433-001-01-2,tubulin inhibitor|microtubule stabilizing agent|microtubule stimulant|P glycoprotein inhibitor|taxane,H-BIOA-001-3
109,BRD-A24122750-001-01-1,GABA receptor antagonist,H-BIOA-001-3
110,BRD-A24191444-045-03-1,Adrenergic receptor antagonist,H-BIOA-001-3
111,BRD-A24228527-001-04-2,Bacterial DNA gyrase inhibitor,H-BIOA-001-3
112,BRD-A24514565-236-01-6,Vitamin K antagonist,H-BIOA-001-3
113,BRD-A24587114-066-03-5,adrenergic receptor agonist,H-BIOA-001-3
114,BRD-A24817035-001-04-7,central nervous system agent,H-BIOA-001-3
115,BRD-A25234499-001-04-3,glucocorticoid receptor antagonist,H-BIOA-001-3
116,BRD-A25775766-001-03-3,GABA receptor antagonist|TP53 activator,H-BIOA-001-3
117,BRD-A26032986-050-01-3,Calmodulin antagonist,H-BIOA-001-3
118,BRD-A26222320-001-02-6,protein synthesis inhibitor,H-BIOA-001-3
119,BRD-A26334849-001-02-1,Antiarrhythmic,H-BIOA-001-3
120,BRD-A26384407-001-04-6,Carbonic anhydrase inhibitor,H-BIOA-001-3
121,BRD-A26711594-001-02-7,calcium channel blocker,H-BIOA-001-3
122,BRD-A26845397-001-01-4,Adrenergic receptor antagonist,H-BIOA-001-3
123,BRD-A27143604-001-01-2,Estrogen receptor agonist,H-BIOA-001-3
124,BRD-A28318179-003-03-6,Nitric oxide synthase inhibitor,H-BIOA-001-3
125,BRD-A28856712-003-04-7,adrenergic receptor agonist,H-BIOA-001-3
126,BRD-A29260609-003-04-7,adrenergic receptor antagonist,H-BIOA-001-3
127,BRD-A29289453-001-02-1,platelet activating factor receptor antagonist,H-BIOA-001-3
128,BRD-A29322418-237-02-4,mineralocorticoid receptor antagonist,H-BIOA-001-3
129,BRD-A29426959-050-04-1,Histamine receptor antagonist,H-BIOA-001-3
130,BRD-A29437505-001-01-6,TLR agonist,H-BIOA-001-3
131,BRD-A29644307-050-04-8,Dopamine uptake inhibitor,H-BIOA-001-3
132,BRD-A29734509-011-02-9,Sodium channel blocker,H-BIOA-001-3
133,BRD-A30590053-003-01-1,Acetylcholine release enhancer,H-BIOA-001-3
134,BRD-A30655177-001-04-1,BTK inhibitor,H-BIOA-001-3
135,BRD-A30717181-001-02-7,glucocorticoid receptor agonist,H-BIOA-001-3
136,BRD-A30815329-001-03-0,Calcium channel blocker,H-BIOA-001-3
137,BRD-A31007383-001-01-0,Adenosine receptor agonist,H-BIOA-001-3
138,BRD-A31159102-001-01-9,Selective serotonin reuptake inhibitor (SSRI),H-BIOA-001-3
139,BRD-A31195449-004-01-9,Serotonin receptor agonist,H-BIOA-001-3
140,BRD-A31521121-001-04-1,Muscle relaxant,H-BIOA-001-3
141,BRD-A31575449-300-01-4,Adrenergic receptor antagonist,H-BIOA-001-3
142,BRD-A31800922-003-04-6,acetylcholine receptor antagonist,H-BIOA-001-3
143,BRD-A32164164-048-01-4,Acetylcholine receptor antagonist,H-BIOA-001-3
144,BRD-A32505112-001-02-8,angiotensin converting enzyme inhibitor,H-BIOA-001-3
145,BRD-A32673558-003-02-1,acetylcholine receptor agonist,H-BIOA-001-3
146,BRD-A32949107-001-01-7,calcium channel blocker,H-BIOA-001-3
147,BRD-A33168282-003-06-5,Adrenergic receptor antagonist,H-BIOA-001-3
148,BRD-A33447119-001-02-5,Anthelmintic,H-BIOA-001-3
149,BRD-A33711280-311-02-0,Acetylcholine receptor antagonist,H-BIOA-001-3
150,BRD-A34255068-001-04-8,phosphodiesterase inhibitor,H-BIOA-001-3
151,BRD-A34309505-001-08-5,benzodiazepine receptor agonist,H-BIOA-001-3
152,BRD-A34706053-003-01-9,Adrenergic receptor agonist,H-BIOA-001-3
153,BRD-A34751532-001-03-6,HSP inducer,H-BIOA-001-3
154,BRD-A34788695-003-04-5,bacterial 30S ribosomal subunit inhibitor,H-BIOA-001-3
155,BRD-A34806832-001-02-7,ATPase inhibitor,H-BIOA-001-3
156,BRD-A35033682-001-01-0,cytochrome P450 inhibitor,H-BIOA-001-3
157,BRD-A35338386-001-04-6,adenosine receptor agonist,H-BIOA-001-3
158,BRD-A35511923-019-01-6,Somatostatin receptor agonist,H-BIOA-001-3
159,BRD-A35623999-001-03-2,mitochondrial Na+/Ca2+ exchanger antagonist|sodium/calcium exchange inhibitor,H-BIOA-001-3
160,BRD-A35931254-003-02-7,dopamine receptor agonist,H-BIOA-001-3
161,BRD-A36066264-001-02-3,Estrogen receptor agonist,H-BIOA-001-3
162,BRD-A36074203-003-03-5,Glutamate receptor antagonist,H-BIOA-001-3
163,BRD-A36217750-001-04-9,Uricosuric blocker,H-BIOA-001-3
164,BRD-A36267905-003-02-8,Adrenergic receptor agonist,H-BIOA-001-3
165,BRD-A36318220-001-01-3,RIPK inhibitor,H-BIOA-001-3
166,BRD-A36471396-003-02-2,Acetylcholine receptor antagonist,H-BIOA-001-3
167,BRD-A37347161-003-01-8,opioid receptor agonist,H-BIOA-001-3
168,BRD-A37432947-004-02-5,acetylcholine receptor antagonist,H-BIOA-001-3
169,BRD-A37441042-003-02-2,adrenergic receptor agonist,H-BIOA-001-3
170,BRD-A37492983-001-03-8,radiopaque medium,H-BIOA-001-3
171,BRD-A37704979-001-02-4,p38 MAPK inhibitor,H-BIOA-001-3
172,BRD-A37776212-003-02-5,opioid receptor agonist,H-BIOA-001-3
173,BRD-A38747044-001-01-5,Imidazoline receptor ligand,H-BIOA-001-3
174,BRD-A38898897-003-01-0,Leukocyte elastase inhibitor,H-BIOA-001-3
175,BRD-A38913120-001-01-0,BCL inhibitor,H-BIOA-001-3
176,BRD-A39230911-001-03-7,Muscle relaxant,H-BIOA-001-3
177,BRD-A39255369-001-01-5,Chloride channel blocker,H-BIOA-001-3
178,BRD-A39268308-001-02-0,Acetylcholine receptor agonist,H-BIOA-001-3
179,BRD-A39522003-001-01-0,FAAH inhibitor|FAAH reuptake inhibitor,H-BIOA-001-3
180,BRD-A39747742-001-02-7,estrogen receptor agonist,H-BIOA-001-3
181,BRD-A39969961-001-01-3,Cytochrome P450 inhibitor,H-BIOA-001-3
182,BRD-A40022950-001-02-9,ATPase inhibitor,H-BIOA-001-3
183,BRD-A40639672-234-04-0,Cyclooxygenase inhibitor,H-BIOA-001-3
184,BRD-A41112154-001-02-1,G protein-coupled receptor agonist,H-BIOA-001-3
185,BRD-A41145729-001-02-7,Retinoid receptor agonist,H-BIOA-001-3
186,BRD-A41250306-001-03-4,Thiazide diuretic,H-BIOA-001-3
187,BRD-A41301928-001-02-5,"Mitochondrial ADP, ATP translocase inhibitor",H-BIOA-001-3
188,BRD-A41304429-001-04-9,Adrenergic receptor antagonist,H-BIOA-001-3
189,BRD-A41451487-001-01-3,Benzodiazepine receptor antagonist,H-BIOA-001-3
190,BRD-A41519720-001-02-2,Niemann-Pick C1-like 1 protein antagonist,H-BIOA-001-3
191,BRD-A41722204-003-01-5,adenosine receptor antagonist,H-BIOA-001-3
192,BRD-A41833852-001-01-9,Opioid receptor antagonist,H-BIOA-001-3
193,BRD-A41941932-001-03-0,Antioxidant,H-BIOA-001-3
194,BRD-A42167015-003-03-7,Adrenergic receptor antagonist,H-BIOA-001-3
195,BRD-A42335949-300-04-9,phosphatidylglycerophosphatase inhibitor,H-BIOA-001-3
196,BRD-A42346008-003-03-6,epinephrine metabolite,H-BIOA-001-3
197,BRD-A42553870-001-05-1,neuropeptide receptor antagonist,H-BIOA-001-3
198,BRD-A42571354-300-01-3,histamine receptor antagonist,H-BIOA-001-3
199,BRD-A42628519-001-04-1,radiopaque medium,H-BIOA-001-3
200,BRD-A42759514-001-03-1,Antiprotozoal,H-BIOA-001-3
201,BRD-A42831637-001-02-2,anti-inflammatory|Cannabinoid metabolite,H-BIOA-001-3
202,BRD-A43076080-001-03-3,protein phosphatase inhibitor,H-BIOA-001-3
203,BRD-A43150328-001-02-0,other antibiotic,H-BIOA-001-3
204,BRD-A43671941-003-03-6,Adrenergic receptor antagonist,H-BIOA-001-3
205,BRD-A43849199-001-02-3,Phytotoxin,H-BIOA-001-3
206,BRD-A43930669-003-01-0,oxytocin receptor antagonist,H-BIOA-001-3
207,BRD-A43940795-001-02-8,serotonin release inhibitor,H-BIOA-001-3
208,BRD-A43974499-066-01-1,Adrenergic receptor antagonist,H-BIOA-001-3
209,BRD-A44008656-036-04-3,Histamine receptor antagonist,H-BIOA-001-3
210,BRD-A44090213-001-04-1,Cyclooxygenase inhibitor,H-BIOA-001-3
211,BRD-A44133049-001-01-5,Serotonin receptor antagonist,H-BIOA-001-3
212,BRD-A44448661-001-02-2,Barbiturate antiepileptic,H-BIOA-001-3
213,BRD-A44551378-001-01-9,EGFR inhibitor,H-BIOA-001-3
214,BRD-A44863528-001-04-1,CCK receptor antagonist,H-BIOA-001-3
215,BRD-A44966919-001-03-1,acetylcholine receptor antagonist,H-BIOA-002-3
216,BRD-A45140972-060-02-4,bacterial 50S ribosomal subunit inhibitor,H-BIOA-002-3
217,BRD-A45499626-001-01-0,Glutamate receptor antagonist,H-BIOA-002-3
218,BRD-A45543382-001-02-7,radiopaque medium,H-BIOA-002-3
219,BRD-A46066006-004-04-4,muscarinic antagonist,H-BIOA-002-3
220,BRD-A47144777-001-02-5,HSP90 inhibitor,H-BIOA-002-3
221,BRD-A47494775-003-03-0,Adrenergic receptor agonist,H-BIOA-002-3
222,BRD-A47513740-001-02-5,protein phosphatase inhibitor,H-BIOA-002-3
223,BRD-A47598013-004-02-0,selective serotonin reuptake inhibitor (SSRI),H-BIOA-002-3
224,BRD-A47633927-001-01-8,ICAM1 antagonist,H-BIOA-006-3
225,BRD-A48257147-001-01-9,glutamate receptor agonist,H-BIOA-002-3
226,BRD-A48300215-001-01-4,sodium channel blocker,H-BIOA-002-3
227,BRD-A48809242-001-02-9,adenosine receptor agonist,H-BIOA-002-3
228,BRD-A49046702-001-01-2,GABA uptake inhibitor,H-BIOA-002-3
229,BRD-A49172652-001-13-1,ATPase inhibitor,H-BIOA-002-3
230,BRD-A49225603-045-02-7,histamine receptor agonist,H-BIOA-002-3
231,BRD-A49358627-001-03-9,PPAR receptor agonist,H-BIOA-002-3
232,BRD-A49370193-051-01-7,serotonin receptor agonist,H-BIOA-002-3
233,BRD-A49680073-001-01-9,JAK inhibitor|Lipocortin synthesis stimulant|STAT inhibitor,H-BIOA-002-3
234,BRD-A49734948-001-03-3,Plant alkaloid,H-BIOA-002-3
235,BRD-A49906757-004-03-1,Acetylcholine receptor antagonist,H-BIOA-002-3
236,BRD-A50157456-065-02-4,adrenergic receptor agonist,H-BIOA-002-3
237,BRD-A50311610-300-04-7,CAR agonist,H-BIOA-002-3
238,BRD-A50675702-001-03-0,chloride channel blocker|GABA gated chloride channel blocker,H-BIOA-002-3
239,BRD-A50684349-001-01-5,dopamine receptor agonist,H-BIOA-002-3
240,BRD-A50737080-001-01-4,ATR kinase inhibitor,H-BIOA-002-3
241,BRD-A50764878-001-01-4,serotonin receptor antagonist,H-BIOA-002-3
242,BRD-A51410489-001-01-4,adrenergic receptor antagonist,H-BIOA-002-3
243,BRD-A51714012-001-02-3,Adrenergic inhibitor,H-BIOA-002-3
244,BRD-A51820102-008-04-0,Bacterial cell wall synthesis inhibitor,H-BIOA-002-3
245,BRD-A51829654-001-01-4,Serotonin receptor antagonist,H-BIOA-002-3
246,BRD-A52588987-004-04-1,Dopamine receptor antagonist,H-BIOA-002-3
247,BRD-A52660433-066-01-3,Monoamine oxidase inhibitor,H-BIOA-002-3
248,BRD-A52922642-001-02-9,L-type calcium channel blocker,H-BIOA-002-3
249,BRD-A53077924-236-01-4,Selective serotonin reuptake enhancer (SSRE),H-BIOA-002-3
250,BRD-A53416814-001-01-5,nitric oxide production inhibitor|phosphoenolpyruvate carboxylase activator|serine/threonine protein phosphatase activator,H-BIOA-002-3
251,BRD-A53576514-003-03-1,Acetylcholine receptor antagonist,H-BIOA-002-3
252,BRD-A53952395-003-04-6,local anesthetic,H-BIOA-002-3
253,BRD-A54029483-001-01-5,endothelin receptor antagonist,H-BIOA-002-3
254,BRD-A54236247-003-02-7,Adrenergic receptor agonist,H-BIOA-002-3
255,BRD-A54490543-066-04-4,monoamine oxidase inhibitor,H-BIOA-002-3
256,BRD-A54845972-066-01-5,serotonin receptor agonist|adrenergic receptor partial agonist|dopamine receptor agonist,H-BIOA-002-3
257,BRD-A54927599-001-07-8,P-selectin inhibitor,H-BIOA-002-3
258,BRD-A55272860-001-03-9,dopamine receptor antagonist,H-BIOA-002-3
259,BRD-A55369275-001-01-6,GABA receptor antagonist,H-BIOA-002-3
260,BRD-A55393291-001-02-4,Androgen receptor agonist,H-BIOA-002-3
261,BRD-A55424491-001-04-1,dihydrofolate reductase inhibitor,H-BIOA-002-3
262,BRD-A55756846-001-05-5,PKA inhibitor,H-BIOA-002-3
263,BRD-A55913614-316-04-7,antimalarial agent|DNA inhibitor,H-BIOA-002-3
264,BRD-A56020723-001-02-0,cathepsin inhibitor|antiamyloidogenic agent,H-BIOA-002-3
265,BRD-A56675431-001-04-0,Thiazide diuretic,H-BIOA-002-3
266,BRD-A56987319-001-03-8,Adenylyl cyclase inhibitor,H-BIOA-002-3
267,BRD-A57133233-003-03-7,histamine receptor antagonist,H-BIOA-002-3
268,BRD-A57382968-001-06-8,Cyclooxygenase inhibitor,H-BIOA-002-3
269,BRD-A58048407-001-06-3,Calcium channel blocker,H-BIOA-002-3
270,BRD-A59215453-003-03-3,Acetylcholine receptor antagonist,H-BIOA-002-3
271,BRD-A59303141-001-03-9,Thiazide diuretic,H-BIOA-002-3
272,BRD-A60197193-001-05-4,Dopamine receptor antagonist,H-BIOA-002-3
273,BRD-A61154809-001-03-5,ATP channel blocker|insulin secretagogue,H-BIOA-002-3
274,BRD-A61392169-001-01-9,glutamate receptor antagonist,H-BIOA-002-3
275,BRD-A61470182-001-02-4,macrophage activator,H-BIOA-002-3
276,BRD-A61793559-001-04-0,Carbonic anhydrase inhibitor,H-BIOA-002-3
277,BRD-A61856038-001-01-2,Lipoxygenase inhibitor,H-BIOA-002-3
278,BRD-A62021152-003-01-8,serotonin receptor agonist,H-BIOA-002-3
279,BRD-A62057054-001-01-5,Serotonin receptor antagonist,H-BIOA-002-3
280,BRD-A62428732-096-02-6,antihistamine,H-BIOA-002-3
281,BRD-A62505706-001-02-3,DNA directed DNA polymerase inhibitor,H-BIOA-002-3
282,BRD-A62525898-001-02-9,Glucocorticoid receptor agonist,H-BIOA-002-3
283,BRD-A63346720-300-01-1,sigma receptor antagonist|dopamine reuptake inhibitor,H-BIOA-002-3
284,BRD-A63546914-003-01-2,Glutamate receptor antagonist,H-BIOA-002-3
285,BRD-A63667919-103-01-9,dopamine receptor antagonist|partial serotonin receptor agonist,H-BIOA-002-3
286,BRD-A63836183-362-01-1,angiotensin receptor antagonist,H-BIOA-002-3
287,BRD-A63894585-001-03-4,glucocorticoid receptor agonist,H-BIOA-002-3
288,BRD-A64092382-003-03-5,Sodium channel blocker,H-BIOA-002-3
289,BRD-A64125466-236-02-0,choleretic agent,H-BIOA-002-3
290,BRD-A64227845-004-02-8,Dopamine receptor agonist,H-BIOA-002-3
291,BRD-A64228451-001-03-5,BTK inhibitor,H-BIOA-002-3
292,BRD-A64485570-001-02-9,DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor,H-BIOA-002-3
293,BRD-A64933752-001-01-0,adenosine receptor agonist,H-BIOA-002-3
294,BRD-A64977602-001-01-9,Adrenergic receptor antagonist,H-BIOA-002-3
295,BRD-A65013509-003-03-8,Acetylcholine receptor antagonist,H-BIOA-002-3
296,BRD-A65051990-001-03-8,vitamin K antagonist,H-BIOA-002-3
297,BRD-A65076780-001-01-3,adrenergic receptor antagonist|prolactin inhibitor,H-BIOA-002-3
298,BRD-A65145453-001-02-0,glutamate receptor agonist,H-BIOA-002-3
299,BRD-A65280694-003-03-8,Dopamine receptor antagonist,H-BIOA-002-3
300,BRD-A65440446-001-02-5,Adrenergic receptor agonist,H-BIOA-002-3
301,BRD-A65597028-003-02-4,Adrenergic receptor antagonist,H-BIOA-002-3
302,BRD-A65615053-003-01-4,Serotonin receptor antagonist,H-BIOA-002-3
303,BRD-A65671304-001-02-6,angiotensin receptor antagonist,H-BIOA-002-3
304,BRD-A66025870-237-05-1,bacterial cell wall synthesis inhibitor,H-BIOA-002-3
305,BRD-A66199457-001-02-2,antineoplastic,H-BIOA-002-3
306,BRD-A66435872-313-01-8,Histamine receptor agonist,H-BIOA-002-3
307,BRD-A66563878-003-01-8,Adrenergic receptor agonist,H-BIOA-002-3
308,BRD-A66927094-001-01-7,Dopamine receptor antagonist,H-BIOA-002-3
309,BRD-A67552019-001-02-2,ATPase inhibitor,H-BIOA-002-3
310,BRD-A67862938-034-04-0,Adrenergic receptor antagonist,H-BIOA-002-3
311,BRD-A68039575-001-02-5,Aromatase inhibitor,H-BIOA-006-3
312,BRD-A68281735-001-02-0,Leukotriene receptor antagonist,H-BIOA-002-3
313,BRD-A68723818-050-04-4,Histamine receptor antagonist,H-BIOA-002-3
314,BRD-A68888262-003-02-9,histamine receptor antagonist,H-BIOA-002-3
315,BRD-A68929948-001-01-9,antiamyloidogenic agent|gamma secretase inhibitor,H-BIOA-002-3
316,BRD-A69636825-003-02-1,Calcium channel blocker,H-BIOA-002-3
317,BRD-A69777949-001-04-4,topoisomerase inhibitor,H-BIOA-002-3
318,BRD-A69786436-003-02-5,acetylcholine receptor antagonist,H-BIOA-002-3
319,BRD-A70083328-001-02-9,Acetylcholinesterase inhibitor,H-BIOA-002-3
320,BRD-A70268693-103-01-9,Acetylcholine receptor agonist,H-BIOA-002-3
321,BRD-A70407468-001-01-2,adenosine receptor antagonist,H-BIOA-002-3
322,BRD-A70514680-003-03-9,Local anesthetic,H-BIOA-002-3
323,BRD-A70649075-008-04-3,sterol demethylase inhibitor,H-BIOA-002-3
324,BRD-A71157293-003-03-5,Vitamin B,H-BIOA-002-3
325,BRD-A71203467-001-01-5,Dopamine receptor antagonist,H-BIOA-002-3
326,BRD-A71774530-001-01-8,chitin inhibitor,H-BIOA-002-3
327,BRD-A71816415-236-02-7,HMGCR inhibitor,H-BIOA-002-3
328,BRD-A72066420-001-01-1,PPAR receptor antagonist,H-BIOA-002-3
329,BRD-A72483914-001-01-1,Serotonin receptor antagonist,H-BIOA-002-3
330,BRD-A72596465-001-01-3,PPAR receptor antagonist,H-BIOA-002-3
331,BRD-A72703248-001-02-7,calcium channel blocker|cytochrome P450 inhibitor,H-BIOA-002-3
332,BRD-A72711497-236-02-0,bacterial permeability inducer,H-BIOA-002-3
333,BRD-A72988804-001-03-8,Cyclooxygenase inhibitor,H-BIOA-002-3
334,BRD-A73368467-003-02-8,Histamine receptor antagonist,H-BIOA-002-3
